protocol_type,session_id,ra,rb,alice_response,bob_response,success,timestamp,response_time,attack_flag,nonce_entropy,is_replay,is_random_guess
one-way,1,,8cf6b657236cc0779d01e3e3648a7589,,,False,1762229878.8795662,0.0014064311981201172,True,,True,False
one-way,2,,f5c0f33ff08661624a191339476d361f,3f0ce4012368a82edefbcfa662dac29bdb0c5db40643539ce1555bae07d8525465fd110caa4f4f06523ebade75cb1009,,True,1762229878.8864923,0.000934600830078125,False,4.0,False,False
one-way,6,,430f34c18a1ca1320dad5a5d1534a1bf,21a85c218e3e1761af84180cbf5ba2eb7e6c5ef81125528de31dbd0f5f7902ac072634e3674c6b79139e1d44f409418f,,True,1762229880.4156358,0.0014834403991699219,True,3.75,False,True
one-way,11,,04bb5ec573ca6746261b31dc78d489cb,e173e399949820c5f91b051171fd688a7748c3bcb8853ddad8ad3696b4f6168b3a68660f6d7811b6182f016334774072,,True,1762229882.455732,0.0014538764953613281,True,4.0,False,True
one-way,15,,afb7e151a12881b104916cfa755a19e2,fa69ab295687c4466f87a4c3f2f6ec340f0ff9bad3ffd1247b7c5e5797f6fbf3513c7c886d7cb74946daa9227432e159,,True,1762229883.9870453,0.003412961959838867,True,4.0,False,True
one-way,17,,e180f1da0efff333460982b35b6ca71a,ea51e0ef88febad90e5d7647b248a52194b88be6f7c02e5aebcd08bec791a9fd2fd5444c2d3b5f4030282a7664d8669b,,True,1762229884.5039382,0.002179861068725586,False,4.0,False,False
one-way,19,,ccf05f0fdd283e19137c55ff5533c3b6,9a9e1d30b63cc335df5d2d13e56e6233db7cd6d575390edb322f0bc5c32d33418cc41f7bcb3e69e3be2c68160fdcddd4,,True,1762229885.0196316,0.0019490718841552734,False,3.875,False,False
one-way,20,,4fcc54145662a0238ccaf29d9903d699,5d67452a84df20866e1ffc7cd976c49df2bf859263a42874b4ea61eba44e5ec07d6565befc2023156d760ff801b63590,,True,1762229885.0278826,0.0011086463928222656,False,3.875,False,False
two-way,0,2bb828597bad9b84d0ec6075209d0a53,4629f9cced9589511f2f03e80711caef,1a36adef4541ffd4505a9d98355fd85a7835ada01df6d56273bc6c4da4997ec6bca25a70383c98e7b01cb7b15d48fa08,3328795fcbbf3f75ba21c3e262201504ad5bb1eb84c7b2dc33b584f76554aedc58007f6900de41584a1f82391349d80f775a7e74ced5e5305431f939ae2a1a05,True,1762229878.371742,,False,5.0,False,False
two-way,4,0b494c06c2a55e895680cb8c285ac0e8,7ee4df217a4a8bb4f8a10201ca555e6a,64c99b83839fea850177686eb707974baf26d13739bfefd390526183d84464b402f0de86c8b4cf9f895d460566928a39,f9a596fb6f4db4558494e70ee3cb8d86492551a63648ebbd647ffc7f4a30aa04827e756ec47a98801641ad5dd5b1035dff841e74a90c0b04ede44fcd1d31eadd,True,1762229879.4008837,,False,4.9375,False,False
two-way,5,061c87475d907b8ea4860bdbc20e1c29,375adfa7854429e6121545f62f0c2753,f6a6c334e47f331ecd2b1cb965609a8ccb72070c3b5c344b6770dc6ae6e976c62bcfb669363dbcf9406a6ef1bd4e0c07,a6bb513ea8417d7b21a50e783db8aea82ff224226b2852a8e3cb00443c461ec3181bdf6da5ce2290edd5f92997fb71a05addbf225a66f92fe1dcd53444a619d4,True,1762229879.9080818,,False,4.875,False,False
two-way,7,d99ed0b035cd5b44957ce3a96a1e18c6,fbeba3b2d50a75027568cffc70489038,69eb34a0094107800ee28252ab54785b462a2464ccdf2f0e9135c87a791ee258a147fcda621592c3f4bafd0bffade5aa,ad0c26226016f38544c76e1f49be9017cd629e2157db20bca410b1e390512ef54c3524ac1d79c94bc90afa1f964bf79c5bd4210fd65706f35623d2acffdaf661,True,1762229880.4228296,,False,4.9375,False,False
two-way,8,7d02448123b8f2758ee4b8ebcb7e959a,3ad6e4e83311c4c5c2f531e6fa8e09ba,f65d695e4e207609fb9de35bbf061b6b19ba993052e5aeafae28e37cb564b16dc018942b8841fd194a22d56968610393,eb55d82c03edd1e76b9dcfea9c7623e06e977969a7bc8800568a7b2d1f8664d5c323ed3035d7e905e349a1b23709141b34611274ebcff93b8c5823ad80e42a04,True,1762229880.931009,,False,4.8125,False,False
two-way,9,978e477c851ebe4fd7abe4a2dfc59836,0a02392b692583f03d44086445a08e3a,8d4c72ec724c75874fe5c8eb0c35e167a1fc477ea9d00e6ae84fbbd3b5d958f2370d5c851171e106a26181274c7a854b,1bf1f814306eca05b63c0cbb6200bbc35178f22af405983d2ec409175e3660a4306a160ce21e117d5118bd2d935d43d64bee9f896273f60a221a856dd6305302,True,1762229881.439816,,False,4.9375,False,False
two-way,10,c06e4d86950057e15b8a9bc3250d6cf5,1f15806b3a7f330515b255286c564bab,7b86dc6487ba02df660c50cddd062849fe8d0a466a5fe9d0a3fb22fe4e0b86beefc83d30efbbd0c90bed6c3579ecc085,9c83dd3122d13e47db39e1a441ba16584772a3cf5d87eb4109eb6de9bc7242a2700e9168bb6cdca996eacfb5705377f7fd341d405f845f3c7f273d205d4de06a,True,1762229881.9484563,,False,4.875,False,False
two-way,12,cdb1959a9ad4093cc88da861184dac32,58f410621486ebe2b2725fb7d3971512,326e2aaae4e3d0ddee60d658401b858b5bd387019e4f9c462c5c7f1d2011dde32fedbcefbff12b0dec2da63bc8e853ff,a9b909e58400433b6219e3918014c1bf4084d290e9f6b658eb76ae136380889a61d24b689cb5dad144c4fe934eee519016c594d09a4735f056ae70f2e347a86f,True,1762229882.4626856,,False,4.9375,False,False
two-way,13,2844da18df64e5fd490a461f3f0b5104,55cb16d2bfc6abe2356ae7ba5ca26026,8f07aba4cfcec7ce2fc20ad3a7aa4dda97f14ffdb4c18afda6fe204695d8033cc3860f368e37e0796e3a436762c379a1,ce539747e48c8997765b593d166918a1ce3cff07f3b298374cd15431ef0e3ba3fa9596ad7b1c8a5519ed79b33d06926664735397395f0a8212ed77695874b3b5,True,1762229882.9697742,,False,5.0,False,False
two-way,14,34e71924b36b1c2af086483d918d12d9,194f104667af3b8988b52b626eb1ed84,9b60dcc6e04f48b2e74a789e5b0e0f42a510f70fde12e174df8293abe0fb923cee29e78b661d29d8f5d36c39ff430558,fccb4430fadf02ea2bee176da3190b3d624d965071228116cbec70e83f62eb7e76752e3c9462d07bd2d2f496d0ca9079fa342d44748556afce15d85d525b45d1,True,1762229883.479371,,False,4.9375,False,False
two-way,16,595a14b1e4477331ba13ad844106e953,2098fbaba99fb4c1340b9a8ac1539522,6629c956c58082377a5367598e01a1c5aec0f8eaf588fb9cd55e454af264ae43c15c5a6fd340fd9bf6d6b13e457cfbcf,5ab99596e13680b6e8f9303ef4485c7c3d503e2c7e6be2e772055ab9ecbe95bdf317e1d7ae5bf64eea4d56c7e4d931a2a69768ac44b371e08ed7f5bfe6514bab,True,1762229883.9962564,,False,4.875,False,False
two-way,18,32132897efc2efda893a01ca42ac7a9f,b3b7a8998234b03623baee741de8f71e,c803956090a2465a28601a1cccd49f936b9643683ec9b3eab0fb67de5b6fa0141f5ab01237fa88d04a6d76c260d9fb47,228d843031d0116c1cc7067354f04e3f71fdcebf197bce51b33295ea1273d3d6b3714553ad2fe814bdf0ab173970860ace70d0fa9bcd12702a8f417f13f6d8b6,True,1762229884.512151,,False,4.9375,False,False
two-way,21,28bdbfb8fc534ba01aa42c90e218ca83,1bdc28a5eaec61956cf867819a34a0d3,172abe75125b5c663224d6faa1b6e2e6b4f9e7e86ab63253979aed936b4df2e7954ea60079ccb07b859530fb905a2d15,f1f8b690d233a497aac8679af65db7e844bebaecca41eedd38bfe7ae1fcd91875cb15e50a405b6bca96ba002f87ccf1f30e04d602261bbfb57facfa09beaf9fa,True,1762229885.034541,,False,4.875,False,False
two-way,22,9b6fd89b8235ce92ab843097694e3247,3a8705f21ebd6298b4af7185dd30dcd5,7a0d2ced2d3c3348b7c91d80d07c10c33781ef0abc93d2434b8412a75c4d43e22aaad434dc3b2e59c0b761231eb1505a,6b12d9d8b33594b0e997515c3f9e80ab89b30dd5a941644efb38d2df760db4051212db301761da2114c85adda3da6509d454c5917ac46612e75fddacf67fd801,True,1762229885.5419767,,True,4.875,False,True
